# Exp data drom Driver and Seegmiller,
# y is y/H, u is u/Uref, v is v/Uref, 
# uu is 1000*u'u'/Uref**2
# vv is 1000*v'v'/Uref**2
# uv is 1000*u'v'/Uref**2
# triple moments are 10000*u'u'u'/Uref**3 (for example)
variables="ID","y","u","v","uu","vv","uv","uuu","uvv","vuu","vvv"
zone,t="exp, x/H=-4"
           13  1.10  0.657  0.000  5.16  2.70 -1.02  -0.18 -0.14  0.12  0.22
           14  1.15  0.696  0.000  5.26  2.19 -1.01  -0.29 -0.12  0.11  0.22
           15  1.20  0.719  0.001  4.67  2.23 -1.07  -0.36 -0.13  0.19  0.16
           16  1.30  0.760  0.000  3.86  2.32 -1.07  -0.36 -0.17  0.18  0.14
           17  1.40  0.790  0.001  3.49  2.10 -0.97  -0.17 -0.03  0.02  0.07
           18  1.50  0.818 -0.001  3.06  2.05 -0.92  -0.15 -0.12  0.11  0.13
           19  1.70  0.870  0.000  2.58  1.64 -0.71  -0.25 -0.13  0.14  0.13
           20  2.00  0.926  0.000  1.80  1.18 -0.44  -0.23 -0.10  0.10  0.11
           21  2.40  0.982  0.003  0.86  0.63 -0.10  -0.12 -0.06  0.05  0.04
           22  2.80  1.003  0.007  0.42  0.32  0.02   0.02  0.01  0.00  0.00
           23  3.20  1.003  0.006  0.39  0.30  0.03   0.03  0.02  0.00  0.01
           24  3.60  1.000  0.006  0.37  0.28  0.04   0.02  0.01  0.00  0.00
           25  4.00  1.001  0.003  0.37  0.28  0.03   0.02  0.01 -0.01  0.00
           26  5.00  1.001  0.000  0.37  0.27  0.03   0.02  0.01 -0.01  0.00
           27  6.00  1.000 -0.004  0.36  0.26  0.04   0.01  0.01 -0.01  0.00
           28  7.50  1.001 -0.006  0.37  0.28  0.04   0.02  0.01  0.00  0.00
           29  8.20  0.943  0.002  1.60  1.28  0.46  -0.28 -0.17 -0.13 -0.08
zone,t="exp, x/H=1"
            2  0.10 -0.008 -0.005  3.18  2.94 -0.72   0.00 -0.35  0.14  0.19
            3  0.15 -0.017 -0.004  4.71  3.22  0.46  -0.46 -0.14  0.15  0.06
            4  0.20 -0.027 -0.001  5.04  3.29  0.21  -0.38 -0.11  0.22 -0.01
            5  0.30 -0.035  0.004  5.12  3.49 -0.14  -0.31 -0.21  0.31  0.05
            6  0.40 -0.035  0.014  4.50  3.67 -0.43  -0.33 -0.24  0.33  0.31
            7  0.50 -0.035  0.022  4.94  2.90 -0.65  -0.48 -0.25  0.32  0.20
            8  0.60 -0.027  0.028  4.56  3.00 -0.74  -0.61 -0.23  0.28  0.18
            9  0.70 -0.005  0.025  5.03  3.44 -0.92  -0.39 -0.15 -0.10 -0.04
           10  0.80  0.081  0.006  9.24  7.38 -3.71   2.63  2.22 -2.73 -2.24
           11  0.90  0.292 -0.027 13.80 11.77 -7.05   1.18  0.94 -0.65 -1.00
           12  1.00  0.519 -0.033 13.93 10.41 -5.85  -4.18 -2.73  2.91  2.32
           13  1.10  0.704 -0.023  6.18  3.79 -1.54  -1.19 -0.49  0.45  0.62
           14  1.15  0.740 -0.022  4.87  2.84 -1.25  -0.07 -0.16  0.12  0.25
